1 : objective	 2.5988e-005 	 error	 0.0321
2 : objective	 2.5981e-005 	 error	 0.0321
3 : objective	 2.5902e-005 	 error	 0.0320
4 : objective	 2.587e-005 	 error	 0.0319
5 : objective	 2.5828e-005 	 error	 0.0318
6 : objective	 2.579e-005 	 error	 0.0316
7 : objective	 2.5754e-005 	 error	 0.0315
8 : objective	 2.5724e-005 	 error	 0.0314
9 : objective	 2.5698e-005 	 error	 0.0313
10 : objective	 2.5656e-005 	 error	 0.0311
11 : objective	 2.5645e-005 	 error	 0.0311
12 : objective	 2.5598e-005 	 error	 0.0309
1 : objective	 0.78467 	 error	 0.0174
2 : objective	 0.78239 	 error	 0.0178
3 : objective	 0.77955 	 error	 0.0182
4 : objective	 0.77824 	 error	 0.0188
1 : objective	 4.097 	 error	 0.0774
2 : objective	 3.8292 	 error	 0.0956
3 : objective	 3.4378 	 error	 0.1354
1 : objective	 5.3761 	 error	 0.0468
1 : objective	 2.0914e-005 	 error	 0.0932
1 : objective	 2.4957e-005 	 error	 0.0748
1 : objective	 0.91365 	 error	 0.0184
1 : objective	 1.2207 	 error	 0.0425
1 : objective	 8.0674e-005 	 error	 0.0937
1 : objective	 0.00014256 	 error	 0.0883
1 : objective	 5.7292e-005 	 error	 0.0698
1 : objective	 0.11369 	 error	 0.0132
1 : objective	 0.19618 	 error	 0.0183
1 : objective	 5.7623e-007 	 error	 0.1072
1 : objective	 6.2768e-007 	 error	 0.1060
1 : objective	 9.6639e-007 	 error	 0.0871
1 : objective	 9.0957e-005 	 error	 0.0344
1 : objective	 2.8779e-005 	 error	 0.0235
1 : objective	 1.6375e-005 	 error	 0.0143
1 : objective	 4.285e-005 	 error	 0.0164
1 : objective	 5.2979e-005 	 error	 0.0393
1 : objective	 7.6278e-008 	 error	 0.0934
1 : objective	 1.9294e-07 	 error	 0.0735
1 : objective	 2.2108e-07 	 error	 0.0290
1 : objective	 1.6028e-07 	 error	 0.0874
1 : objective	 3.7195e-07 	 error	 0.0905
1 : objective	 4.9514e-07 	 error	 0.0658
1 : objective	 4.0499e-07 	 error	 0.0615
1 : objective	 3.9225e-07 	 error	 0.0602
1 : objective	 8.9711e-07 	 error	 0.0831
1 : objective	 6.7691e-08 	 error	 0.0788
1 : objective	 5.7917e-08 	 error	 0.0717
1 : objective	 5.7635e-08 	 error	 0.0713
1 : objective	 5.7545e-08 	 error	 0.0712
1 : objective	 5.7524e-08 	 error	 0.0711
1 : objective	 5.7352e-08 	 error	 0.0705
1 : objective	 6.4863e-08 	 error	 0.0704
1 : objective	 6.4611e-08 	 error	 0.0702
1 : objective	 6.4508e-08 	 error	 0.0701
1 : objective	 4.9313e-08 	 error	 0.0713
1 : objective	 2.2122e-05 	 error	 0.0549
1 : objective	 7.3e-08 	 error	 0.0932
1 : objective	 6.9822e-08 	 error	 0.0930
1 : objective	 6.7504e-08 	 error	 0.0928
1 : objective	 1.8662e-07 	 error	 0.0731
1 : objective	 1.8019e-07 	 error	 0.0727
1 : objective	 1.7555e-07 	 error	 0.0723
1 : objective	 2.1766e-07 	 error	 0.0286
1 : objective	 2.1388e-07 	 error	 0.0280
1 : objective	 2.1078e-07 	 error	 0.0277
1 : objective	 5.2299e-08 	 error	 0.0711
1 : objective	 2.9052e-07 	 error	 0.0867
1 : objective	 3.7747e-07 	 error	 0.0534
1 : objective	 8.1173e-07 	 error	 0.0781
1 : objective	 7.9151e-05 	 error	 0.0331
1 : objective	 6.3236e-05 	 error	 0.0123
1 : objective	 7.1117e-05 	 error	 0.0143
1 : objective	 7.1151e-05 	 error	 0.0550
1 : objective	 6.0385e-05 	 error	 0.0130
1 : objective	 0.00022597 	 error	 0.0344
1 : objective	 0.00010056 	 error	 0.0179
1 : objective	 7.1391e-05 	 error	 0.0227
1 : objective	 0.013335 	 error	 3.5095
1 : objective	 2.3264e-06 	 error	 0.1043
1 : objective	 4.1206e-05 	 error	 0.0974
1 : objective	 2.4137e-05 	 error	 0.0880
1 : objective	 2.0183e-05 	 error	 0.0901
1 : objective	 2.3288e-05 	 error	 0.1232
1 : objective	 4.0274e-05 	 error	 0.0911
1 : objective	 4.5703e-05 	 error	 0.0855
1 : objective	 3.9242e-05 	 error	 0.1131
1 : objective	 4.2304e-05 	 error	 0.1120
1 : objective	 3.9242e-05 	 error	 0.1131
1 : objective	 4.5598e-05 	 error	 0.1247
1 : objective	 4.0629e-05 	 error	 0.0910
1 : objective	 3.9244e-05 	 error	 0.1084
1 : objective	 0.00040652 	 error	 0.0151
1 : objective	 0.00038954 	 error	 0.0382
1 : objective	 0.00058096 	 error	 0.0121
1 : objective	 0.0070776 	 error	 0.0711
1 : objective	 461.8656 	 error	 10.9623
1 : objective	 0.00036328 	 error	 0.0596
1 : objective	 0.001176 	 error	 0.0453
1 : objective	 0.00076548 	 error	 0.0388
1 : objective	 0.0055688 	 error	 0.0533
1 : objective	 0.00049999 	 error	 0.2195
1 : objective	 0.00051469 	 error	 0.2219
1 : objective	 0.00055432 	 error	 0.1961
1 : objective	 0.00055623 	 error	 0.2063
1 : objective	 0.00048757 	 error	 0.2139
1 : objective	 0.00051469 	 error	 0.2219
1 : objective	 0.00055432 	 error	 0.1961
1 : objective	 0.00049999 	 error	 0.2195
1 : objective	 0.00055623 	 error	 0.2063
1 : objective	 0.00048757 	 error	 0.2139
1 : objective	 0.016233 	 error	 0.0794
1 : objective	 7.4256 	 error	 1.0028
1 : objective	 0.019334 	 error	 0.0735
1 : objective	 0.016899 	 error	 0.0710
1 : objective	 0.02778 	 error	 0.1003
1 : objective	 0.049174 	 error	 0.0484
1 : objective	 0.020985 	 error	 0.0858
1 : objective	 1042.0296 	 error	 7.4242
1 : objective	 0.027008 	 error	 0.1126
1 : objective	 0.02778 	 error	 0.1003
1 : objective	 0.019334 	 error	 0.0735
1 : objective	 0.016233 	 error	 0.0794
1 : objective	 0.016899 	 error	 0.0710
1 : objective	 0.019841 	 error	 0.2739
1 : objective	 0.047359 	 error	 0.0594
1 : objective	 1042.0296 	 error	 7.4242
